n_estimators,max_leaf_nodes,accuracy
10,10,0.9009062693978894
10,11,0.8941899441340782
10,12,0.8830415890751088
10,13,0.8707821229050279
10,14,0.888659217877095
10,15,0.8975232774674116
10,16,0.9008131595282434
10,17,0.9019677219118559
10,18,0.9108938547486034
10,19,0.9108752327746741
10,20,0.9130974549968963
10,21,0.9042271880819367
10,22,0.9164432029795158
10,23,0.9175543140906269
10,24,0.9175543140906269
10,25,0.9197889509621353
10,26,0.9197889509621353
10,27,0.900869025450031
10,28,0.8986405959031657
10,29,0.9086592178770949
10,30,0.9119863438857851
10,31,0.8986281812538796
10,32,0.9053010552451892
10,33,0.8941589075108629
10,34,0.9120297951582869
10,35,0.9097951582867785
10,36,0.8975108628181253
10,37,0.9019987585350714
10,38,0.9142023587833643
10,39,0.9086468032278088
10,40,0.906387337057728
10,41,0.9030602110490378
10,42,0.8986219739292365
10,43,0.8830912476722533
10,44,0.886381129733085
10,45,0.9164307883302296
10,46,0.9141899441340782
10,47,0.9108255741775295
10,48,0.9030912476722532
10,49,0.9008752327746741
10,50,0.9153010552451892
11,10,0.9131657355679703
11,11,0.8941961514587213
11,12,0.898578522656735
11,13,0.9086095592799502
11,14,0.9074860335195531
11,15,0.9085971446306642
11,16,0.8830291744258224
11,17,0.9064680322780883
11,18,0.9008752327746741
11,19,0.8985723153320919
11,20,0.9086592178770949
11,21,0.8963687150837989
11,22,0.8952948479205463
11,23,0.8919366852886407
11,24,0.8952638112973309
11,25,0.9175977653631285
11,26,0.9198075729360646
11,27,0.9164618249534451
11,28,0.9019801365611422
11,29,0.9142085661080074
11,30,0.9086281812538795
11,31,0.9108628181253879
11,32,0.8908069522036003
11,33,0.8886157666045935
11,34,0.8919615145872128
11,35,0.9064494103041589
11,36,0.8841713221601489
11,37,0.9086405959031657
11,38,0.9197579143389198
11,39,0.9064494103041589
11,40,0.8975108628181253
11,41,0.8986157666045933
11,42,0.8997392923649906
11,43,0.9008504034761018
11,44,0.9187150837988828
11,45,0.9031160769708256
11,46,0.8875170701427685
11,47,0.9097579143389198
11,48,0.9063935443823713
11,49,0.9109000620732465
11,50,0.9031098696461826
12,10,0.8852762259466169
12,11,0.8774984481688393
12,12,0.9030602110490378
12,13,0.900869025450031
12,14,0.8963687150837989
12,15,0.9019490999379268
12,16,0.8974798261949101
12,17,0.9064059590316573
12,18,0.8941837368094351
12,19,0.9009062693978895
12,20,0.901973929236499
12,21,0.8975170701427684
12,22,0.9064183736809435
12,23,0.9086405959031657
12,24,0.8819180633147115
12,25,0.8919304779639976
12,26,0.9086343885785226
12,27,0.9198013656114215
12,28,0.9019925512104283
12,29,0.8941961514587213
12,30,0.9131222842954687
12,31,0.8919366852886407
12,32,0.9142396027312228
12,33,0.9131284916201118
12,34,0.9175791433891993
12,35,0.8975232774674116
12,36,0.898659217877095
12,37,0.8941527001862198
12,38,0.9030912476722532
12,39,0.9097951582867785
12,40,0.8986343885785226
12,41,0.9142085661080074
12,42,0.9130974549968963
12,43,0.9041837368094351
12,44,0.905270018621974
12,45,0.9075232774674115
12,46,0.8953072625698324
12,47,0.8953072625698324
12,48,0.9008504034761018
12,49,0.9030788330229671
12,50,0.9008504034761018
13,10,0.8963625077591558
13,11,0.8930477963997518
13,12,0.9052948479205462
13,13,0.8886157666045934
13,14,0.8863811297330851
13,15,0.8875046554934822
13,16,0.8997392923649906
13,17,0.9097517070142768
13,18,0.9064369956548728
13,19,0.9120422098075729
13,20,0.9120049658597145
13,21,0.8919304779639976
13,22,0.8952762259466169
13,23,0.9142271880819367
13,24,0.9019801365611422
13,25,0.9075543140906269
13,26,0.9141961514587212
13,27,0.9130850403476101
13,28,0.9198075729360646
13,29,0.9030602110490378
13,30,0.9108752327746741
13,31,0.9097330850403476
13,32,0.8997454996896337
13,33,0.9064680322780883
13,34,0.9008504034761018
13,35,0.9030664183736808
13,36,0.9064618249534451
13,37,0.8963811297330851
13,38,0.9119615145872129
13,39,0.8941589075108629
13,40,0.9008814400993173
13,41,0.8997206703910614
13,42,0.9053072625698324
13,43,0.9220235878336437
13,44,0.9097703289882061
13,45,0.9109124767225326
13,46,0.9086219739292366
13,47,0.9097082557417753
13,48,0.9019925512104283
13,49,0.9130850403476101
13,50,0.9130850403476101
14,10,0.8841899441340783
14,11,0.8853134698944756
14,12,0.8730167597765363
14,13,0.8975418994413408
14,14,0.8930229671011795
14,15,0.8941713221601489
14,16,0.8841278708876474
14,17,0.894165114835506
14,18,0.9130726256983239
14,19,0.8930415890751087
14,20,0.9119987585350714
14,21,0.9141961514587212
14,22,0.9086530105524518
14,23,0.8986219739292365
14,24,0.8975170701427684
14,25,0.8997268777157046
14,26,0.9130912476722532
14,27,0.9086468032278088
14,28,0.9086592178770949
14,29,0.8941589075108629
14,30,0.9074984481688393
14,31,0.9097144630664185
14,32,0.9097703289882061
14,33,0.9031036623215394
14,34,0.9086281812538795
14,35,0.9075232774674115
14,36,0.9053134698944755
14,37,0.8986219739292365
14,38,0.8963935443823712
14,39,0.8952824332712602
14,40,0.9075046554934822
14,41,0.919851024208566
14,42,0.9186405959031656
14,43,0.9153258845437616
14,44,0.914183736809435
14,45,0.9141899441340782
14,46,0.9008628181253879
14,47,0.8908441961514587
14,48,0.8886095592799503
14,49,0.9064245810055865
14,50,0.9064245810055865
15,10,0.8963811297330851
15,11,0.8997330850403475
15,12,0.9008379888268155
15,13,0.9008441961514586
15,14,0.9086654252017381
15,15,0.900869025450031
15,16,0.9186778398510242
15,17,0.8986405959031657
15,18,0.8986095592799505
15,19,0.9030477963997517
15,20,0.898653010552452
15,21,0.8975108628181253
15,22,0.8975232774674116
15,23,0.9142271880819367
15,24,0.9064245810055865
15,25,0.8908379888268158
15,26,0.9008379888268155
15,27,0.898653010552452
15,28,0.9086840471756673
15,29,0.9153258845437616
15,30,0.905276225946617
15,31,0.9030974549968963
15,32,0.9108752327746741
15,33,0.8930540037243947
15,34,0.8930353817504656
15,35,0.8997330850403475
15,36,0.9175791433891993
15,37,0.9164307883302296
15,38,0.9086157666045935
15,39,0.9209000620732464
15,40,0.9097703289882061
15,41,0.9153196772191186
15,42,0.9153134698944754
15,43,0.9041899441340782
15,44,0.9019428926132835
15,45,0.9187026691495965
15,46,0.9108566108007448
15,47,0.9097454996896337
15,48,0.8997517070142769
15,49,0.906387337057728
15,50,0.906387337057728
16,10,0.8719118559900684
16,11,0.8853010552451893
16,12,0.8808131595282432
16,13,0.8853134698944756
16,14,0.9063873370577282
16,15,0.8964307883302297
16,16,0.8997703289882061
16,17,0.9142644320297952
16,18,0.8953010552451893
16,19,0.8830477963997518
16,20,0.9164369956548727
16,21,0.9053010552451892
16,22,0.911973929236499
16,23,0.9275853507138423
16,24,0.9019801365611422
16,25,0.9042023587833643
16,26,0.9086654252017381
16,27,0.9019615145872129
16,28,0.9030602110490378
16,29,0.9153320918684047
16,30,0.9019801365611422
16,31,0.9042023587833643
16,32,0.9008876474239603
16,33,0.9220608317815021
16,34,0.9008379888268155
16,35,0.8941961514587213
16,36,0.9242954686530105
16,37,0.9008628181253879
16,38,0.9019490999379268
16,39,0.9041837368094351
16,40,0.9120049658597145
16,41,0.90528243327126
16,42,0.9131222842954687
16,43,0.9108938547486034
16,44,0.9064121663563004
16,45,0.9030974549968963
16,46,0.9030788330229671
16,47,0.9152886405959031
16,48,0.9164742396027312
16,49,0.9119801365611421
16,50,0.9242768466790814
17,10,0.8886219739292365
17,11,0.8997268777157046
17,12,0.8864059590316573
17,13,0.8796585971446307
17,14,0.9086405959031657
17,15,0.8863811297330851
17,16,0.8919801365611422
17,17,0.898659217877095
17,18,0.9108504034761017
17,19,0.9109124767225326
17,20,0.9064121663563004
17,21,0.898653010552452
17,22,0.9019428926132835
17,23,0.9187274984481689
17,24,0.9119615145872129
17,25,0.9141713221601488
17,26,0.9064245810055865
17,27,0.9019180633147114
17,28,0.9064369956548728
17,29,0.9130850403476101
17,30,0.8964183736809435
17,31,0.9186778398510242
17,32,0.9186778398510242
17,33,0.9164245810055867
17,34,0.9030664183736808
17,35,0.9041961514587212
17,36,0.8997082557417754
17,37,0.9164183736809435
17,38,0.9042023587833643
17,39,0.8975356921166977
17,40,0.9119801365611421
17,41,0.8997330850403475
17,42,0.9153445065176908
17,43,0.8975046554934825
17,44,0.8963935443823712
17,45,0.9008317815021727
17,46,0.9086157666045935
17,47,0.9031098696461826
17,48,0.9042209807572936
17,49,0.9108690254500311
17,50,0.9097454996896337
18,10,0.8908379888268158
18,11,0.9041837368094352
18,12,0.8941837368094351
18,13,0.9075294847920545
18,14,0.8986405959031657
18,15,0.8897517070142769
18,16,0.9008441961514586
18,17,0.8841651148355059
18,18,0.9030726256983239
18,19,0.9108628181253879
18,20,0.9130726256983239
18,21,0.9030850403476102
18,22,0.8919615145872128
18,23,0.9075046554934822
18,24,0.910869025450031
18,25,0.9108876474239602
18,26,0.9008379888268155
18,27,0.9030726256983239
18,28,0.9019677219118559
18,29,0.9008566108007449
18,30,0.901973929236499
18,31,0.9097392923649906
18,32,0.9186778398510242
18,33,0.9197889509621353
18,34,0.9075108628181253
18,35,0.9175667287399131
18,36,0.9075046554934822
18,37,0.9142396027312228
18,38,0.904177529484792
18,39,0.9108752327746741
18,40,0.9130912476722532
18,41,0.9175418994413409
18,42,0.9208938547486033
18,43,0.9164183736809436
18,44,0.9152948479205462
18,45,0.9220049658597145
18,46,0.9208938547486033
18,47,0.9075418994413408
18,48,0.910869025450031
18,49,0.8997703289882061
18,50,0.898659217877095
19,10,0.869751707014277
19,11,0.8819242706393544
19,12,0.8808193668528863
19,13,0.8941527001862196
19,14,0.905270018621974
19,15,0.8974922408441962
19,16,0.8986033519553074
19,17,0.8942333954065796
19,18,0.9075232774674115
19,19,0.9008379888268155
19,20,0.8953134698944755
19,21,0.9064183736809435
19,22,0.9086405959031657
19,23,0.8963997517070142
19,24,0.9097517070142768
19,25,0.9052948479205462
19,26,0.9063997517070141
19,27,0.9042085661080075
19,28,0.911973929236499
19,29,0.9086343885785226
19,30,0.9064245810055865
19,31,0.8964121663563004
19,32,0.9141775294847919
19,33,0.9108876474239602
19,34,0.9186778398510242
19,35,0.9186716325263811
19,36,0.9108628181253879
19,37,0.9108814400993172
19,38,0.9142147734326505
19,39,0.9075356921166977
19,40,0.9153320918684047
19,41,0.9119428926132838
19,42,0.9164369956548727
19,43,0.9164059590316572
19,44,0.9152886405959031
19,45,0.9097392923649906
19,46,0.9030664183736808
19,47,0.906381129733085
19,48,0.9041961514587212
19,49,0.9164742396027312
19,50,0.9164742396027312
20,10,0.8841961514587213
20,11,0.9008504034761018
20,12,0.9064307883302296
20,13,0.900869025450031
20,14,0.8897020484171321
20,15,0.8952948479205463
20,16,0.9008752327746741
20,17,0.8964059590316573
20,18,0.8997392923649906
20,19,0.9052948479205462
20,20,0.9086654252017381
20,21,0.901973929236499
20,22,0.904177529484792
20,23,0.8874736188702668
20,24,0.916455617628802
20,25,0.9063935443823713
20,26,0.91756052141527
20,27,0.9197951582867784
20,28,0.9019428926132835
20,29,0.9030664183736808
20,30,0.918665425201738
20,31,0.8963749224084421
20,32,0.9153196772191186
20,33,0.9209062693978896
20,34,0.9164183736809435
20,35,0.9186530105524519
20,36,0.9119615145872129
20,37,0.9286716325263811
20,38,0.9175915580384855
20,39,0.9108628181253879
20,40,0.9153258845437616
20,41,0.9242023587833644
20,42,0.9142147734326505
20,43,0.9097454996896337
20,44,0.9097454996896337
20,45,0.9097144630664185
20,46,0.9097268777157044
20,47,0.9108504034761017
20,48,0.8997020484171323
20,49,0.9153072625698323
20,50,0.9131036623215394
21,10,0.8997454996896337
21,11,0.8986281812538796
21,12,0.894177529484792
21,13,0.8863935443823712
21,14,0.8919801365611422
21,15,0.8874984481688394
21,16,0.9030664183736808
21,17,0.8975046554934825
21,18,0.9041837368094351
21,19,0.8963687150837989
21,20,0.9030726256983239
21,21,0.9030664183736808
21,22,0.9030850403476102
21,23,0.9030477963997517
21,24,0.8986405959031657
21,25,0.9131222842954687
21,26,0.9008193668528864
21,27,0.8997144630664184
21,28,0.9153258845437616
21,29,0.9097517070142768
21,30,0.9153134698944754
21,31,0.9164432029795158
21,32,0.9008566108007449
21,33,0.9142023587833643
21,34,0.9053072625698324
21,35,0.9086716325263812
21,36,0.9008193668528864
21,37,0.9053258845437616
21,38,0.9197951582867784
21,39,0.9153445065176908
21,40,0.9164494103041589
21,41,0.910869025450031
21,42,0.9063997517070141
21,43,0.9152638112973308
21,44,0.9119615145872129
21,45,0.9108441961514586
21,46,0.906387337057728
21,47,0.906387337057728
21,48,0.9030353817504656
21,49,0.8975418994413408
21,50,0.9197703289882062
22,10,0.8874922408441961
22,11,0.8986281812538796
22,12,0.8964307883302297
22,13,0.8908317815021725
22,14,0.888578522656735
22,15,0.8975543140906268
22,16,0.8975605214152701
22,17,0.9030974549968963
22,18,0.9108628181253879
22,19,0.8908504034761018
22,20,0.9152886405959032
22,21,0.9086468032278088
22,22,0.9030974549968963
22,23,0.9142209807572936
22,24,0.9041961514587212
22,25,0.9097454996896337
22,26,0.8952638112973309
22,27,0.9064245810055865
22,28,0.9030850403476102
22,29,0.8997268777157046
22,30,0.8974984481688392
22,31,0.911973929236499
22,32,0.9175418994413409
22,33,0.8941527001862198
22,34,0.9142271880819367
22,35,0.9197889509621353
22,36,0.913078833022967
22,37,0.9064121663563004
22,38,0.9041589075108629
22,39,0.9074984481688393
22,40,0.9042023587833643
22,41,0.9064369956548728
22,42,0.924252017380509
22,43,0.9075481067659839
22,44,0.9197579143389198
22,45,0.913078833022967
22,46,0.9108876474239602
22,47,0.9175791433891993
22,48,0.9086281812538795
22,49,0.9086468032278088
22,50,0.9142147734326505
23,10,0.9019677219118559
23,11,0.8852948479205462
23,12,0.9053010552451892
23,13,0.8975605214152701
23,14,0.8953072625698324
23,15,0.9031160769708256
23,16,0.8975046554934825
23,17,0.8885909373060212
23,18,0.9053072625698324
23,19,0.9097703289882061
23,20,0.9019615145872129
23,21,0.910869025450031
23,22,0.9019863438857852
23,23,0.9075046554934822
23,24,0.9119987585350714
23,25,0.9153445065176908
23,26,0.904177529484792
23,27,0.9052886405959031
23,28,0.9153010552451892
23,29,0.9097392923649906
23,30,0.9030415890751087
23,31,0.9231222842954686
23,32,0.9097579143389198
23,33,0.9086219739292364
23,34,0.8997082557417754
23,35,0.9131160769708255
23,36,0.8941589075108629
23,37,0.9086033519553073
23,38,0.9064183736809435
23,39,0.9197827436374922
23,40,0.9108876474239602
23,41,0.92756052141527
23,42,0.9075232774674115
23,43,0.9164183736809435
23,44,0.9219987585350713
23,45,0.9219987585350713
23,46,0.9208876474239602
23,47,0.9086157666045935
23,48,0.919770328988206
23,49,0.9086157666045935
23,50,0.9063997517070141
24,10,0.8864059590316573
24,11,0.8908131595282434
24,12,0.8908504034761018
24,13,0.8997703289882061
24,14,0.905270018621974
24,15,0.8819366852886406
24,16,0.9008814400993173
24,17,0.9042147734326506
24,18,0.8975232774674116
24,19,0.9086468032278088
24,20,0.9019553072625698
24,21,0.9119863438857851
24,22,0.9030974549968963
24,23,0.9086343885785226
24,24,0.9086343885785226
24,25,0.9086343885785226
24,26,0.9053134698944755
24,27,0.9109186840471757
24,28,0.9119801365611421
24,29,0.91756052141527
24,30,0.9164369956548727
24,31,0.9086157666045935
24,32,0.9142458100558659
24,33,0.9208876474239602
24,34,0.9209186840471757
24,35,0.9097330850403476
24,36,0.9197517070142768
24,37,0.921973929236499
24,38,0.9008504034761018
24,39,0.9153196772191186
24,40,0.9108504034761019
24,41,0.9097206703910615
24,42,0.9085909373060211
24,43,0.910869025450031
24,44,0.9097330850403476
24,45,0.9041589075108629
24,46,0.9063935443823713
24,47,0.9253693358162632
24,48,0.9264680322780882
24,49,0.9119490999379266
24,50,0.9186716325263811
25,10,0.8919615145872128
25,11,0.8852762259466171
25,12,0.9041899441340782
25,13,0.9030726256983239
25,14,0.9030788330229671
25,15,0.884177529484792
25,16,0.9108628181253879
25,17,0.8997206703910614
25,18,0.8952824332712602
25,19,0.9019490999379268
25,20,0.9075356921166977
25,21,0.9064183736809435
25,22,0.9097579143389198
25,23,0.9108504034761017
25,24,0.901973929236499
25,25,0.9030850403476102
25,26,0.9153631284916202
25,27,0.9142333954065798
25,28,0.9008193668528864
25,29,0.9041961514587212
25,30,0.9131098696461825
25,31,0.9086281812538795
25,32,0.9108379888268157
25,33,0.9086219739292364
25,34,0.9108379888268157
25,35,0.9130602110490379
25,36,0.9197765363128492
25,37,0.9164680322780882
25,38,0.9108814400993172
25,39,0.9119987585350714
25,40,0.9186592178770949
25,41,0.9219987585350713
25,42,0.918665425201738
25,43,0.9253258845437615
25,44,0.9242147734326505
25,45,0.9119553072625697
25,46,0.9119925512104283
25,47,0.9119801365611421
25,48,0.9119801365611421
25,49,0.9063935443823713
25,50,0.9242396027312229
26,10,0.8842085661080075
26,11,0.9019863438857852
26,12,0.8953072625698324
26,13,0.9042023587833643
26,14,0.8975418994413408
26,15,0.9086530105524518
26,16,0.8996958410924891
26,17,0.9097703289882061
26,18,0.9075418994413408
26,19,0.8953134698944755
26,20,0.893072625698324
26,21,0.8963997517070142
26,22,0.9008379888268155
26,23,0.9075046554934822
26,24,0.9042147734326506
26,25,0.9197827436374922
26,26,0.9186343885785228
26,27,0.9030726256983239
26,28,0.8986405959031657
26,29,0.9097579143389198
26,30,0.9052948479205462
26,31,0.9097454996896337
26,32,0.9119490999379266
26,33,0.9097330850403476
26,34,0.9086281812538795
26,35,0.9097268777157044
26,36,0.9231222842954686
26,37,0.913078833022967
26,38,0.9119677219118559
26,39,0.9097579143389198
26,40,0.9231098696461825
26,41,0.9197579143389198
26,42,0.9231409062693979
26,43,0.9041340782122905
26,44,0.9041340782122905
26,45,0.9030788330229671
26,46,0.9041899441340782
26,47,0.9298261949099939
26,48,0.911973929236499
26,49,0.9074984481688393
26,50,0.9074984481688393
27,10,0.9008504034761018
27,11,0.8852824332712601
27,12,0.9008876474239603
27,13,0.8975356921166977
27,14,0.9053258845437616
27,15,0.8963935443823712
27,16,0.9030353817504656
27,17,0.900869025450031
27,18,0.9142147734326505
27,19,0.9075481067659839
27,20,0.9008379888268155
27,21,0.9030415890751087
27,22,0.9131222842954687
27,23,0.9130912476722532
27,24,0.9097703289882061
27,25,0.8997454996896337
27,26,0.9131036623215394
27,27,0.9075418994413408
27,28,0.9064059590316573
27,29,0.905276225946617
27,30,0.9052948479205462
27,31,0.9130912476722532
27,32,0.9119801365611421
27,33,0.9119677219118559
27,34,0.9141961514587212
27,35,0.9097454996896337
27,36,0.9164245810055867
27,37,0.9153258845437616
27,38,0.9197641216635629
27,39,0.9197641216635629
27,40,0.9075232774674115
27,41,0.919770328988206
27,42,0.9141899441340782
27,43,0.9097454996896337
27,44,0.9153134698944754
27,45,0.9264307883302296
27,46,0.9041899441340782
27,47,0.9130850403476101
27,48,0.9130850403476101
27,49,0.9130850403476101
27,50,0.9130850403476101
28,10,0.8975356921166977
28,11,0.8897579143389199
28,12,0.8986033519553074
28,13,0.8896710117939168
28,14,0.8896958410924892
28,15,0.8919553072625698
28,16,0.8975418994413408
28,17,0.9119987585350714
28,18,0.9019615145872129
28,19,0.9108504034761017
28,20,0.8964059590316573
28,21,0.9075108628181253
28,22,0.8975170701427684
28,23,0.9164121663563003
28,24,0.9164369956548727
28,25,0.9075232774674115
28,26,0.9108814400993174
28,27,0.9119925512104284
28,28,0.9253631284916202
28,29,0.9097454996896337
28,30,0.904177529484792
28,31,0.9052886405959031
28,32,0.9164307883302296
28,33,0.904177529484792
28,34,0.9108814400993172
28,35,0.9097330850403476
28,36,0.9242271880819366
28,37,0.9242023587833643
28,38,0.9052886405959031
28,39,0.9175543140906269
28,40,0.9119925512104283
28,41,0.9231098696461825
28,42,0.9197765363128492
28,43,0.918665425201738
28,44,0.9197765363128492
28,45,0.918665425201738
28,46,0.9086530105524518
28,47,0.9064245810055865
28,48,0.9164183736809435
28,49,0.9108441961514588
28,50,0.9108441961514588
29,10,0.8897330850403475
29,11,0.8919615145872128
29,12,0.8919366852886407
29,13,0.9019925512104283
29,14,0.9041651148355058
29,15,0.8997206703910614
29,16,0.898653010552452
29,17,0.9064059590316573
29,18,0.9108814400993172
29,19,0.9053010552451892
29,20,0.911973929236499
29,21,0.8874798261949101
29,22,0.9142147734326505
29,23,0.9164245810055865
29,24,0.9086219739292364
29,25,0.9119987585350714
29,26,0.9075046554934822
29,27,0.9153258845437616
29,28,0.9086530105524518
29,29,0.9075294847920545
29,30,0.905270018621974
29,31,0.9175356921166976
29,32,0.909764121663563
29,33,0.9142085661080074
29,34,0.9208876474239602
29,35,0.9097454996896337
29,36,0.9198013656114215
29,37,0.9186592178770949
29,38,0.9342892613283673
29,39,0.9186343885785228
29,40,0.9108379888268157
29,41,0.9008628181253879
29,42,0.9119925512104283
29,43,0.914183736809435
29,44,0.9253382991930478
29,45,0.9264494103041588
29,46,0.9264494103041588
29,47,0.9197765363128492
29,48,0.9219677219118558
29,49,0.9153258845437616
29,50,0.918665425201738
30,10,0.900869025450031
30,11,0.8975356921166977
30,12,0.8985909373060211
30,13,0.8919615145872128
30,14,0.9019801365611422
30,15,0.9119863438857851
30,16,0.9075481067659839
30,17,0.9075543140906269
30,18,0.9064059590316573
30,19,0.8952824332712602
30,20,0.9008255741775295
30,21,0.9097827436374922
30,22,0.9086405959031657
30,23,0.8997579143389199
30,24,0.9030664183736808
30,25,0.90528243327126
30,26,0.9041589075108629
30,27,0.8964059590316573
30,28,0.9164369956548727
